Under My Wheels;Alice Cooper;1971;Under My Wheels by Alice Cooper
Welcome To My Nightmare;Alice Cooper;1975;Welcome To My Nightmare by Alice Cooper
Down in a Hole;Alice In Chains;1992;Down in a Hole by Alice In Chains
Man In The Box;Alice In Chains;1990;Man In The Box by Alice In Chains
No Excuses;Alice In Chains;1994;No Excuses by Alice In Chains
Rooster;Alice In Chains;1992;Rooster by Alice In Chains
Them Bones;Alice In Chains;1992;Them Bones by Alice In Chains
Would?;Alice In Chains;1992;Would? by Alice In Chains
Ain't Wastin' Time No More;Allman Brothers Band;1972;Ain't Wastin' Time No More by Allman Brothers Band
Blue Sky;Allman Brothers Band;1972;Blue Sky by Allman Brothers Band
Good Clean Fun;Allman Brothers Band;1990;Good Clean Fun by Allman Brothers Band
In Memory Of Elizabeth Reed;Allman Brothers Band;1970;In Memory Of Elizabeth Reed by Allman Brothers Band
Jessica;Allman Brothers Band;1973;Jessica by Allman Brothers Band
Melissa;Allman Brothers Band;1972;Melissa by Allman Brothers Band
Midnight Rider;Allman Brothers Band;1970;Midnight Rider by Allman Brothers Band
No One to Run With;Allman Brothers Band;1994;No One to Run With by Allman Brothers Band
One Way Out;Allman Brothers Band;;One Way Out by Allman Brothers Band
Ramblin' Man;Allman Brothers Band;1973;Ramblin' Man by Allman Brothers Band
Southbound;Allman Brothers Band;;Southbound by Allman Brothers Band
Statesboro Blues;Allman Brothers Band;1971;Statesboro Blues by Allman Brothers Band
Whippin' Post;Allman Brothers Band;;Whippin' Post by Allman Brothers Band
A Horse With No Name;America;1972;A Horse With No Name by America
Sister Golden Hair;America;1975;Sister Golden Hair by America
Ventura Highway;America;1972;Ventura Highway by America
Don't Bring Me Down;Animals II;1966;Don't Bring Me Down by Animals II
Don't Let Me Be Misunderstood;Animals II;1965;Don't Let Me Be Misunderstood by Animals II
Immigrant Song;Ann Wilson;;Immigrant Song by Ann Wilson
Roller;April Wine;;Roller by April Wine
Hold Your Head Up;Argent;1972;Hold Your Head Up by Argent
Coming into Los Angeles;Arlo Guthrie;;Coming into Los Angeles by Arlo Guthrie
Wayside;Artful Dodger;;Wayside by Artful Dodger
Heat of the Moment;Asia;1982;Heat of the Moment by Asia
Only Time Will Tell;Asia;1982;Only Time Will Tell by Asia
So Into You;Atlanta Rhythm Section;1976;So Into You by Atlanta Rhythm Section
Spooky;Atlanta Rhythm Section;;Spooky by Atlanta Rhythm Section
Like a Stone;Audioslave;2002;Like a Stone by Audioslave
Blondes In Black Cars;Autograph;;Blondes In Black Cars by Autograph
Turn Up the Radio;Autograph;1984;Turn Up the Radio by Autograph
Rock And Roll Party In The Streets;Axe;;Rock And Roll Party In The Streets by Axe
Let It Ride;Bachman-Turner Overdrive;1973;Let It Ride by Bachman-Turner Overdrive
Roll On Down The Highway;Bachman-Turner Overdrive;;Roll On Down The Highway by Bachman-Turner Overdrive
Takin' Care Of Business;Bachman-Turner Overdrive;1973;Takin' Care Of Business by Bachman-Turner Overdrive
You Ain't Seen Nothin' Yet;Bachman-Turner Overdrive;1974;You Ain't Seen Nothin' Yet by Bachman-Turner Overdrive
Bad Company;Bad Company;1974;Bad Company by Bad Company
Burnin' Sky;Bad Company;1977;Burnin' Sky by Bad Company
Can't Get Enough;Bad Company;1974;Can't Get Enough by Bad Company
Feel Like Makin' Love;Bad Company;;Feel Like Makin' Love by Bad Company
Gone Gone Gone;Bad Company;;Gone Gone Gone by Bad Company
Good Lovin' Gone Bad;Bad Company;;Good Lovin' Gone Bad by Bad Company
Movin' On;Bad Company;;Movin' On by Bad Company
Ready For Love;Bad Company;;Ready For Love by Bad Company
Rock 'n' Roll Fantasy;Bad Company;;Rock 'n' Roll Fantasy by Bad Company
Rock Steady;Bad Company;;Rock Steady by Bad Company
Run With The Pack;Bad Company;;Run With The Pack by Bad Company
Seagull;Bad Company;1974;Seagull by Bad Company
Shooting Star;Bad Company;1975;Shooting Star by Bad Company
Silver, Blue And Gold;Bad Company;;Silver, Blue And Gold by Bad Company
When I See You Smile;Bad English;1989;When I See You Smile by Bad English
No Matter What;Badfinger;1970;No Matter What by Badfinger
Walks Like A Woman;Baton Rouge;;Walks Like A Woman by Baton Rouge
(You Gotta) Fight for Your Right (To Party);Beastie Boys;1986;(You Gotta) Fight for Your Right (To Party) by Beastie Boys
No Sleep Till Brooklyn;Beastie Boys;1986;No Sleep Till Brooklyn by Beastie Boys
Loser;Beck;1994;Loser by Beck
In a Big Country;Big Country;1983;In a Big Country by Big Country
Rock Around the Clock;Bill Haley;1955;Rock Around the Clock by Bill Haley
AIN'T NO SUNSHINE;Bill Withers;1971;AIN'T NO SUNSHINE by Bill Withers
Cradle of Love;Billy Idol;1990;Cradle of Love by Billy Idol
Dancing With Myself;Billy Idol;1980;Dancing With Myself by Billy Idol
Eyes Without a Face;Billy Idol;1984;Eyes Without a Face by Billy Idol
Mony Mony;Billy Idol;;Mony Mony by Billy Idol
Rebel Yell;Billy Idol;1984;Rebel Yell by Billy Idol
White Wedding;Billy Idol;1982;White Wedding by Billy Idol
Allentown;Billy Joel;1982;Allentown by Billy Joel
Big Shot;Billy Joel;1978;Big Shot by Billy Joel
Captain Jack;Billy Joel;1973;Captain Jack by Billy Joel
Don't Ask Me Why;Billy Joel;;Don't Ask Me Why by Billy Joel
Goodnight Saigon;Billy Joel;1983;Goodnight Saigon by Billy Joel
It's Still Rock And Roll To Me;Billy Joel;1980;It's Still Rock And Roll To Me by Billy Joel
Miami 2017 {seen The Lights Go Out On Broadway} (live 1;Billy Joel;1976;Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel
Movin' Out (Anthony's Song);Billy Joel;1977;Movin' Out (Anthony's Song) by Billy Joel
My Life;Billy Joel;1978;My Life by Billy Joel
New York State Of Mind;Billy Joel;1976;New York State Of Mind by Billy Joel
Only The Good Die Young;Billy Joel;1977;Only The Good Die Young by Billy Joel
Piano Man;Billy Joel;1973;Piano Man by Billy Joel
Prelude/angry Young Man;Billy Joel;;Prelude/angry Young Man by Billy Joel
Scenes From An Italian Restaurant;Billy Joel;1977;Scenes From An Italian Restaurant by Billy Joel
SHE'S ALWAYS A WOMAN;Billy Joel;1977;SHE'S ALWAYS A WOMAN by Billy Joel
Sometimes A Fantasy;Billy Joel;1980;Sometimes A Fantasy by Billy Joel
The Ballad Of Billy The Kid;Billy Joel;1973;The Ballad Of Billy The Kid by Billy Joel
The Stranger;Billy Joel;1977;The Stranger by Billy Joel
You May Be Right;Billy Joel;1980;You May Be Right by Billy Joel
Baby Come Back;Billy Rankin;;Baby Come Back by Billy Rankin
Everybody Wants You;Billy Squier;;Everybody Wants You by Billy Squier
In the Dark;Billy Squier;;In the Dark by Billy Squier
