Only You Know And I Know;Dave Mason;;Only You Know And I Know by Dave Mason
We Just Disagree;Dave Mason;1977;We Just Disagree by Dave Mason
Welcome To The Boomtown;David & David;1986;Welcome To The Boomtown by David & David
Changes;David Bowie;1971;Changes by David Bowie
China Girl;David Bowie;1983;China Girl by David Bowie
Diamond Dogs;David Bowie;1974;Diamond Dogs by David Bowie
Fame;David Bowie;1975;Fame by David Bowie
Fashion;David Bowie;1980;Fashion by David Bowie
Friday on My Mind;David Bowie;;Friday on My Mind by David Bowie
Golden Years;David Bowie;1975;Golden Years by David Bowie
Heroes;David Bowie;1977;Heroes by David Bowie
Jean Genie;David Bowie;;Jean Genie by David Bowie
Let's Dance;David Bowie;1983;Let's Dance by David Bowie
Modern Love;David Bowie;1983;Modern Love by David Bowie
Panic in Detroit;David Bowie;;Panic in Detroit by David Bowie
Rebel Rebel;David Bowie;1974;Rebel Rebel by David Bowie
Space Oddity;David Bowie;1969;Space Oddity by David Bowie
Starman;David Bowie;1972;Starman by David Bowie
Stay;David Bowie;;Stay by David Bowie
Suffragette City;David Bowie;1972;Suffragette City by David Bowie
Young Americans;David Bowie;1975;Young Americans by David Bowie
Ziggy Stardust;David Bowie;1972;Ziggy Stardust by David Bowie
Rock On;David Essex;1974;Rock On by David Essex
There's No Way Out Of Here;David Essex;;There's No Way Out Of Here by David Essex
There's No Way Out Of Here;David Gilmour;;There's No Way Out Of Here by David Gilmour
Frenchette;David Johansen;;Frenchette by David Johansen
California Girls;David Lee Roth;;California Girls by David Lee Roth
Just A Gigolo / I Ain't Got Nobody;David Lee Roth;1985;Just A Gigolo / I Ain't Got Nobody by David Lee Roth
Yankee Rose;David Lee Roth;1986;Yankee Rose by David Lee Roth
Burn;Deep Purple;1974;Burn by Deep Purple
Child In Time;Deep Purple;1970;Child In Time by Deep Purple
Highway Star;Deep Purple;1972;Highway Star by Deep Purple
Hush;Deep Purple;1968;Hush by Deep Purple
Kentucky Woman;Deep Purple;1968;Kentucky Woman by Deep Purple
Knocking At Your Backdoo;Deep Purple;1984;Knocking At Your Backdoo by Deep Purple
Lazy;Deep Purple;1972;Lazy by Deep Purple
Perfect Strangers;Deep Purple;;Perfect Strangers by Deep Purple
Smoke On The Water;Deep Purple;1972;Smoke On The Water by Deep Purple
Space Truckin';Deep Purple;;Space Truckin' by Deep Purple
Woman From Tokyo;Deep Purple;;Woman From Tokyo by Deep Purple
Animal;Def Leppard;1987;Animal by Def Leppard
Armageddon It;Def Leppard;1987;Armageddon It by Def Leppard
Bringin' On The Heartbreak;Def Leppard;;Bringin' On The Heartbreak by Def Leppard
Foolin';Def Leppard;;Foolin' by Def Leppard
Hysteria;Def Leppard;1987;Hysteria by Def Leppard
Love Bites;Def Leppard;1987;Love Bites by Def Leppard
On Through The Night;Def Leppard;;On Through The Night by Def Leppard
Photograph;Def Leppard;1983;Photograph by Def Leppard
Pour Some Sugar On Me;Def Leppard;1987;Pour Some Sugar On Me by Def Leppard
Rock of Ages;Def Leppard;1983;Rock of Ages by Def Leppard
Rock Rock;Def Leppard;;Rock Rock by Def Leppard
Rocket;Def Leppard;1987;Rocket by Def Leppard
Too Late for Love;Def Leppard;;Too Late for Love by Def Leppard
Enjoy the Silence;Depeche Mode;1990;Enjoy the Silence by Depeche Mode
Bell Bottom Blues;Derek & The Dominos;1970;Bell Bottom Blues by Derek & The Dominos
Have You Ever Loved a Woman;Derek & The Dominos;;Have You Ever Loved a Woman by Derek & The Dominos
Layla;Derek & The Dominos;1970;Layla by Derek & The Dominos
Recognition;Detective;;Recognition by Detective
ANGELOS;Dick Siegel;;ANGELOS by Dick Siegel
Holy Diver;Dio;;Holy Diver by Dio
Rainbow In the Dark;Dio;;Rainbow In the Dark by Dio
The Last In Line;Dio;;The Last In Line by Dio
Brothers In Arms;Dire Straits;1985;Brothers In Arms by Dire Straits
Down To The Waterline;Dire Straits;1978;Down To The Waterline by Dire Straits
Expresso Love;Dire Straits;1980;Expresso Love by Dire Straits
Industrial Disease;Dire Straits;1982;Industrial Disease by Dire Straits
Lady Writer;Dire Straits;1979;Lady Writer by Dire Straits
Money for Nothing;Dire Straits;1985;Money for Nothing by Dire Straits
Romeo And Juliet;Dire Straits;1980;Romeo And Juliet by Dire Straits
So Far Away;Dire Straits;1985;So Far Away by Dire Straits
Solid Rock;Dire Straits;;Solid Rock by Dire Straits
Sultans of Swing;Dire Straits;1978;Sultans of Swing by Dire Straits
Walk of Life;Dire Straits;1985;Walk of Life by Dire Straits
Counting Blue Cars;Dishwalla;1995;Counting Blue Cars by Dishwalla
Drift Away;Dobie Gray;1973;Drift Away by Dobie Gray
Alone Again;Dokken;;Alone Again by Dokken
In My Dreams;Dokken;;In My Dreams by Dokken
Into The Fire;Dokken;;Into The Fire by Dokken
Heavy Metal;Don Felder;1981;Heavy Metal by Don Felder
All She Wants to Do Is Dance;Don Henley;1985;All She Wants to Do Is Dance by Don Henley
Dirty Laundry;Don Henley;1982;Dirty Laundry by Don Henley
Sunset Grill;Don Henley;1985;Sunset Grill by Don Henley
The Boys Of Summer;Don Henley;1985;The Boys Of Summer by Don Henley
The Heart of the Matter;Don Henley;1989;The Heart of the Matter by Don Henley
The Last Worthless Evening;Don Henley;;The Last Worthless Evening by Don Henley
American Pie;Don McLean;1971;American Pie by Don McLean
Ah! Leah!;Donnie Iris;1980;Ah! Leah! by Donnie Iris
Love Is Like A Rock;Donnie Iris;1981;Love Is Like A Rock by Donnie Iris
Season of the Witch;Donovan;1966;Season of the Witch by Donovan
Sunshine Superman;Donovan;1966;Sunshine Superman by Donovan
COVER OF THE ROLLING STONE;Dr. Hook & the Medicine Show;;COVER OF THE ROLLING STONE by Dr. Hook & the Medicine Show
Right Place Wrong Time;Dr. John;1973;Right Place Wrong Time by Dr. John
Anything, Anything;Dramarama;;Anything, Anything by Dramarama
Hey, Hey (What Can I Do?);Led Zeppelin;1970;Hey, Hey (What Can I Do?) by Led Zeppelin
Rio;Duran Duran;1982;Rio by Duran Duran
Already Gone;Eagles;1974;Already Gone by Eagles
Desperado;Eagles;1973;Desperado by Eagles
Heartache Tonight;Eagles;1979;Heartache Tonight by Eagles
Hotel California;Eagles;1976;Hotel California by Eagles
I Can't Tell You Why;Eagles;1979;I Can't Tell You Why by Eagles
In The City;Eagles;1979;In The City by Eagles
Life in the Fast Lane;Eagles;1976;Life in the Fast Lane by Eagles
Lyin' Eyes;Eagles;1975;Lyin' Eyes by Eagles
New Kid In Town;Eagles;1976;New Kid In Town by Eagles
One of These Nights;Eagles;1975;One of These Nights by Eagles
Peaceful Easy Feeling;Eagles;1972;Peaceful Easy Feeling by Eagles
Seven Bridges Road;Eagles;1980;Seven Bridges Road by Eagles
Take It Easy;Eagles;1972;Take It Easy by Eagles
Take It to the Limit;Eagles;1975;Take It to the Limit by Eagles
Tequila Sunrise;Eagles;1973;Tequila Sunrise by Eagles
The Best of My Love;Eagles;1974;The Best of My Love by Eagles
The Long Run;Eagles;1979;The Long Run by Eagles
Those Shoes;Eagles;1979;Those Shoes by Eagles
Victim of Love;Eagles;1976;Victim of Love by Eagles
Witchy Woman;Eagles;1972;Witchy Woman by Eagles
Baby Hold On;Eddie Money;1977;Baby Hold On by Eddie Money
Gimme Some Water;Eddie Money;;Gimme Some Water by Eddie Money
Shakin';Eddie Money;;Shakin' by Eddie Money
Take Me Home Tonight;Eddie Money;1986;Take Me Home Tonight by Eddie Money
Think I'm In Love;Eddie Money;;Think I'm In Love by Eddie Money
Two Tickets To Paradise;Eddie Money;;Two Tickets To Paradise by Eddie Money
Frankenstein;Edgar Winter Group;;Frankenstein by Edgar Winter Group
Free Ride;Edgar Winter Group;1973;Free Ride by Edgar Winter Group
WAR;Edwin Starr;1970;WAR by Edwin Starr
CAN'T GET IT OUT OF MY HEAD;Electric Light Orchestra;1974;CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra
Do Ya;Electric Light Orchestra;;Do Ya by Electric Light Orchestra
Don't Bring Me Down;Electric Light Orchestra;1979;Don't Bring Me Down by Electric Light Orchestra
Evil Woman;Electric Light Orchestra;1975;Evil Woman by Electric Light Orchestra
Fire On High;Electric Light Orchestra;1975;Fire On High by Electric Light Orchestra
Livin' Thing;Electric Light Orchestra;1976;Livin' Thing by Electric Light Orchestra
Roll Over Beethoven;Electric Light Orchestra;;Roll Over Beethoven by Electric Light Orchestra
Strange Magic;Electric Light Orchestra;1985;Strange Magic by Electric Light Orchestra
Sweet Talkin' Woman;Electric Light Orchestra;1978;Sweet Talkin' Woman by Electric Light Orchestra
Telephone Line;Electric Light Orchestra;;Telephone Line by Electric Light Orchestra
Turn To Stone;Electric Light Orchestra;1978;Turn To Stone by Electric Light Orchestra
All The Girls Love Alice;Elton John;1973;All The Girls Love Alice by Elton John
Bennie And The Jets;Elton John;1973;Bennie And The Jets by Elton John
Candle in the Wind;Elton John;1973;Candle in the Wind by Elton John
Captain Fantastic;Elton John;1975;Captain Fantastic by Elton John
Crocodile Rock;Elton John;1972;Crocodile Rock by Elton John
DANIEL;Elton John;1973;DANIEL by Elton John
Don't Let The Sun Go Down On Me;Elton John;1974;Don't Let The Sun Go Down On Me by Elton John
Funeral for a Friend (Love Lies Bleeding);Elton John;1973;Funeral for a Friend (Love Lies Bleeding) by Elton John
Goodbye Yellow Brick Road;Elton John;1973;Goodbye Yellow Brick Road by Elton John
Harmony;Elton John;1973;Harmony by Elton John
Honky Cat;Elton John;1972;Honky Cat by Elton John
Levon;Elton John;1071;Levon by Elton John
Madman Across The Water;Elton John;1971;Madman Across The Water by Elton John
Rocket Man;Elton John;1972;Rocket Man by Elton John
Saturday Night's Alright for Fighting;Elton John;1973;Saturday Night's Alright for Fighting by Elton John
Someone Saved My Life Tonight;Elton John;1975;Someone Saved My Life Tonight by Elton John
Take Me to the Pilot;Elton John;;Take Me to the Pilot by Elton John
Teacher I Need You;Elton John;;Teacher I Need You by Elton John
THE BITCH IS BACK;Elton John;1974;THE BITCH IS BACK by Elton John
Tiny Dancer;Elton John;1971;Tiny Dancer by Elton John
Where To Now St. Peter;Elton John;1970;Where To Now St. Peter by Elton John
Your Song;Elton John;1970;Your Song by Elton John
Fooled around and Fell in Love;Elvin Bishop;1975;Fooled around and Fell in Love by Elvin Bishop
Alison;Elvis Costello;1977;Alison by Elvis Costello
Pump It Up;Elvis Costello;1978;Pump It Up by Elvis Costello
Veronica;Elvis Costello;1989;Veronica by Elvis Costello
From the Beginning;Emerson, Lake & Palmer;1972;From the Beginning by Emerson, Lake & Palmer
Hoedown;Emerson, Lake & Palmer;;Hoedown by Emerson, Lake & Palmer
Karn Evil 9;Emerson, Lake & Palmer;1973;Karn Evil 9 by Emerson, Lake & Palmer
Lucky Man;Emerson, Lake & Palmer;1970;Lucky Man by Emerson, Lake & Palmer
Still You Turn Me On;Emerson, Lake & Palmer;1973;Still You Turn Me On by Emerson, Lake & Palmer
After Midnight;Eric Clapton;1970;After Midnight by Eric Clapton
Bad Love;Eric Clapton;1989;Bad Love by Eric Clapton
Call Me the Breeze;Eric Clapton;;Call Me the Breeze by Eric Clapton
Cocaine;Eric Clapton;1977;Cocaine by Eric Clapton
Don't Think Twice, It's Alright;Eric Clapton;;Don't Think Twice, It's Alright by Eric Clapton
Forever Man;Eric Clapton;1985;Forever Man by Eric Clapton
I Can't Stand It;Eric Clapton;1981;I Can't Stand It by Eric Clapton
I Shot The Sheriff;Eric Clapton;1974;I Shot The Sheriff by Eric Clapton
I've Got a Rock 'N' Roll Heart;Eric Clapton;;I've Got a Rock 'N' Roll Heart by Eric Clapton
It's In The Way That You Use It;Eric Clapton;1986;It's In The Way That You Use It by Eric Clapton
Knockin' On Heaven's Door;Eric Clapton;;Knockin' On Heaven's Door by Eric Clapton
Lay Down Sally;Eric Clapton;1977;Lay Down Sally by Eric Clapton
Layla;Eric Clapton;;Layla by Eric Clapton
Let It Grow;Eric Clapton;1974;Let It Grow by Eric Clapton
Let It Rain;Eric Clapton;1970;Let It Rain by Eric Clapton
Pretending;Eric Clapton;1989;Pretending by Eric Clapton
She's Waiting;Eric Clapton;1985;She's Waiting by Eric Clapton
Tears In Heaven;Eric Clapton;;Tears In Heaven by Eric Clapton
The Core;Eric Clapton;1977;The Core by Eric Clapton
Willie and the Hand Jive;Eric Clapton;;Willie and the Hand Jive by Eric Clapton
Wonderful Tonight;Eric Clapton;1977;Wonderful Tonight by Eric Clapton
Cliffs Of Dover;Eric Johnson;1990;Cliffs Of Dover by Eric Johnson
The Final Countdown;Europe;1986;The Final Countdown by Europe
Sweet Dreams (Are Made of This);Eurythmics;1982;Sweet Dreams (Are Made of This) by Eurythmics
Inside Out;Eve 6;;Inside Out by Eve 6
Santa Monica;Everclear;1996;Santa Monica by Everclear
The Boys Are Back In Town;Everclear;;The Boys Are Back In Town by Everclear
What It's Like;Everlast;1999;What It's Like by Everlast
More Than Words;Extreme;1991;More Than Words by Extreme
Mutha (Don't Wanna Go To School Today);Extreme;;Mutha (Don't Wanna Go To School Today) by Extreme
Ooh La La;Faces;1973;Ooh La La by Faces
Stay With Me;Faces;1971;Stay With Me by Faces
Epic;Faith No More;1989;Epic by Faith No More
House Of Pain;Faster Pussycat;1990;House Of Pain by Faster Pussycat
All The Kings Horses;Firm;;All The Kings Horses by Firm
Signs;Five Man Electrical Band;1970;Signs by Five Man Electrical Band
Blue Letter;Fleetwood Mac;;Blue Letter by Fleetwood Mac
Don't Stop;Fleetwood Mac;1977;Don't Stop by Fleetwood Mac
Dreams;Fleetwood Mac;1977;Dreams by Fleetwood Mac
Go Your Own Way;Fleetwood Mac;1977;Go Your Own Way by Fleetwood Mac
Gold Dust Woman;Fleetwood Mac;1977;Gold Dust Woman by Fleetwood Mac
Gypsy;Fleetwood Mac;1982;Gypsy by Fleetwood Mac
Hold Me;Fleetwood Mac;1982;Hold Me by Fleetwood Mac
Hypnotized;Fleetwood Mac;1973;Hypnotized by Fleetwood Mac
I Don't Want To Know;Fleetwood Mac;1977;I Don't Want To Know by Fleetwood Mac
I'm So Afraid;Fleetwood Mac;;I'm So Afraid by Fleetwood Mac
Landslide;Fleetwood Mac;1975;Landslide by Fleetwood Mac
Little Lies;Fleetwood Mac;1987;Little Lies by Fleetwood Mac
Monday Morning;Fleetwood Mac;1975;Monday Morning by Fleetwood Mac
Never Going Back Again;Fleetwood Mac;1977;Never Going Back Again by Fleetwood Mac
Oh Well;Fleetwood Mac;1969;Oh Well by Fleetwood Mac
Rhiannon;Fleetwood Mac;1975;Rhiannon by Fleetwood Mac
Sara;Fleetwood Mac;1980;Sara by Fleetwood Mac
Say You Love Me;Fleetwood Mac;;Say You Love Me by Fleetwood Mac
Second Hand News;Fleetwood Mac;1977;Second Hand News by Fleetwood Mac
Sentimental Lady;Fleetwood Mac;;Sentimental Lady by Fleetwood Mac
The Chain;Fleetwood Mac;1977;The Chain by Fleetwood Mac
Tusk;Fleetwood Mac;1979;Tusk by Fleetwood Mac
World Turning;Fleetwood Mac;;World Turning by Fleetwood Mac
You Make Loving Fun;Fleetwood Mac;1977;You Make Loving Fun by Fleetwood Mac
Hocus Pocus;Focus;1971;Hocus Pocus by Focus
Dreamer;Foghat;;Dreamer by Foghat
Fool For The City;Foghat;1975;Fool For The City by Foghat
I Just Want To Make Love To You;Foghat;;I Just Want To Make Love To You by Foghat
Slow Ride;Foghat;1975;Slow Ride by Foghat
All My Life;Foo Fighters;2002;All My Life by Foo Fighters
Baker Street;Foo Fighters;;Baker Street by Foo Fighters
Best of You;Foo Fighters;2005;Best of You by Foo Fighters
Everlong;Foo Fighters;1997;Everlong by Foo Fighters
Learn To Fly;Foo Fighters;1999;Learn To Fly by Foo Fighters
Monkey Wrench;Foo Fighters;1997;Monkey Wrench by Foo Fighters
My Hero;Foo Fighters;1997;My Hero by Foo Fighters
The Pretender;Foo Fighters;2007;The Pretender by Foo Fighters
These Days;Foo Fighters;2011;These Days by Foo Fighters
Times Like These;Foo Fighters;2002;Times Like These by Foo Fighters
Blue Morning, Blue Day;Foreigner;;Blue Morning, Blue Day by Foreigner
Cold As Ice;Foreigner;1977;Cold As Ice by Foreigner
Dirty White Boy;Foreigner;1979;Dirty White Boy by Foreigner
Double Vision;Foreigner;1978;Double Vision by Foreigner
Feels Like the First Time;Foreigner;1977;Feels Like the First Time by Foreigner
Head Games;Foreigner;;Head Games by Foreigner
Hot Blooded;Foreigner;1978;Hot Blooded by Foreigner
I Want to Know What Love Is;Foreigner;1984;I Want to Know What Love Is by Foreigner
Juke Box Hero;Foreigner;1981;Juke Box Hero by Foreigner
Long, Long Way From Home;Foreigner;;Long, Long Way From Home by Foreigner
Love Has Taken Its Toll;Foreigner;;Love Has Taken Its Toll by Foreigner
Starrider;Foreigner;;Starrider by Foreigner
That Was Yesterday;Foreigner;1984;That Was Yesterday by Foreigner
Urgent;Foreigner;1981;Urgent by Foreigner
Waiting for a Girl Like You;Foreigner;1981;Waiting for a Girl Like You by Foreigner
Women;Foreigner;;Women by Foreigner
Joe's Garage;Frank Zappa;1979;Joe's Garage by Frank Zappa
Peaches En Regalia;Frank Zappa;;Peaches En Regalia by Frank Zappa
All Right Now;Free;1970;All Right Now by Free
Hemorrhage;Free;;Hemorrhage by Free
Wishing Well;Free;1973;Wishing Well by Free
Maggot Brain;Funkadelic;1971;Maggot Brain by Funkadelic
CARS;Gary Numan;1979;CARS by Gary Numan
Dream Weaver;Gary Wright;1975;Dream Weaver by Gary Wright
Love Is Alive;Gary Wright;;Love Is Alive by Gary Wright
A Trick of the Tail;Genesis;1976;A Trick of the Tail by Genesis
Abacab;Genesis;1981;Abacab by Genesis
Behind The Lines;Genesis;;Behind The Lines by Genesis
Carpet Crawlers;Genesis;;Carpet Crawlers by Genesis
Follow You Follow Me;Genesis;1978;Follow You Follow Me by Genesis
Home by the Sea/Second Home by the Sea;Genesis;1983;Home by the Sea/Second Home by the Sea by Genesis
Just A Job To Do;Genesis;;Just A Job To Do by Genesis
Land Of Confusion;Genesis;1986;Land Of Confusion by Genesis
Mama;Genesis;1983;Mama by Genesis
Man On The Corner;Genesis;1981;Man On The Corner by Genesis
Misunderstanding;Genesis;1980;Misunderstanding by Genesis
No Reply At All;Genesis;1981;No Reply At All by Genesis
That's All;Genesis;1983;That's All by Genesis
The Lamb Lies Down On Broadway;Genesis;1974;The Lamb Lies Down On Broadway by Genesis
Tonight Tonight (live);Genesis;1986;Tonight Tonight (live) by Genesis
Turn It On Again;Genesis;1980;Turn It On Again by Genesis
Give Me Love;George Harrison;1973;Give Me Love by George Harrison
GOT MY MIND SET ON YOU;George Harrison;1987;GOT MY MIND SET ON YOU by George Harrison
My Sweet Lord;George Harrison;1970;My Sweet Lord by George Harrison
Bad to the Bone;George Thorogood;1982;Bad to the Bone by George Thorogood
Delaware Slide;George Thorogood;;Delaware Slide by George Thorogood
Get A Haircut;George Thorogood;;Get A Haircut by George Thorogood
I Drink Alone;George Thorogood;1985;I Drink Alone by George Thorogood
It Wasn't Me;George Thorogood;;It Wasn't Me by George Thorogood
Move It On Over;George Thorogood;;Move It On Over by George Thorogood
One Bourbon, One Scotch, One Beer;George Thorogood;;One Bourbon, One Scotch, One Beer by George Thorogood
Who Do You Love;George Thorogood;;Who Do You Love by George Thorogood
Keep Your Hands To Yourself;Georgia Satellites;1986;Keep Your Hands To Yourself by Georgia Satellites
Baker Street;Gerry Rafferty;1978;Baker Street by Gerry Rafferty
Right Down the Line;Gerry Rafferty;1978;Right Down the Line by Gerry Rafferty
Found Out About You;Gin Blossoms;1993;Found Out About You by Gin Blossoms
Hey Jealousy;Gin Blossoms;1992;Hey Jealousy by Gin Blossoms
Smuggler's Blues;Glenn Frey;1984;Smuggler's Blues by Glenn Frey
You Belong to the City;Glenn Frey;1985;You Belong to the City by Glenn Frey
Marakesh Express;Gold Star Ballroom Orchestra;;Marakesh Express by Gold Star Ballroom Orchestra
Are You Receiving Me;Golden Earring;1973;Are You Receiving Me by Golden Earring
Radar Love;Golden Earring;1973;Radar Love by Golden Earring
Twilight Zone;Golden Earring;1983;Twilight Zone by Golden Earring
Sundown;Gordon Lightfoot;1974;Sundown by Gordon Lightfoot
Soulshine;Gov't Mule;;Soulshine by Gov't Mule
Bad Time;Grand Funk Railroad;1974;Bad Time by Grand Funk Railroad
Closer To Home (I'm Your Captain);Grand Funk Railroad;1970;Closer To Home (I'm Your Captain) by Grand Funk Railroad
Loco-Motion;Grand Funk Railroad;1974;Loco-Motion by Grand Funk Railroad
Shinin' On;Grand Funk Railroad;1974;Shinin' On by Grand Funk Railroad
Some Kind of Wonderful;Grand Funk Railroad;1975;Some Kind of Wonderful by Grand Funk Railroad
We're an American Band;Grand Funk Railroad;1973;We're an American Band by Grand Funk Railroad
Alabama Getaway;Grateful Dead;;Alabama Getaway by Grateful Dead
Black-Throated Wind;Grateful Dead;;Black-Throated Wind by Grateful Dead
Casey Jones;Grateful Dead;1970;Casey Jones by Grateful Dead
CHINA TOWN SHUFFLE ;Grateful Dead;;CHINA TOWN SHUFFLE  by Grateful Dead
Friend Of The Devil;Grateful Dead;1970;Friend Of The Devil by Grateful Dead
Hell in a Bucket;Grateful Dead;;Hell in a Bucket by Grateful Dead
Loser;Grateful Dead;;Loser by Grateful Dead
Me and Bobby McGee;Grateful Dead;;Me and Bobby McGee by Grateful Dead
NOT FADEAWAY/GOING /AWAY;Grateful Dead;;NOT FADEAWAY/GOING /AWAY by Grateful Dead
Scarlet Begonias;Grateful Dead;;Scarlet Begonias by Grateful Dead
Shakedown Street;Grateful Dead;;Shakedown Street by Grateful Dead
Sugar Magnolia;Grateful Dead;1970;Sugar Magnolia by Grateful Dead
Touch of Grey;Grateful Dead;1987;Touch of Grey by Grateful Dead
Truckin';Grateful Dead;1970;Truckin' by Grateful Dead
Turn On Your Lovelight;Grateful Dead;;Turn On Your Lovelight by Grateful Dead
U.S. Blues;Grateful Dead;;U.S. Blues by Grateful Dead
Uncle John's Band;Grateful Dead;1969;Uncle John's Band by Grateful Dead
Mista Bone;Great White;;Mista Bone by Great White
Once Bitten, Twice Shy;Great White;1989;Once Bitten, Twice Shy by Great White
Rock Me;Great White;;Rock Me by Great White
Rollin' Stoned;Great White;;Rollin' Stoned by Great White
Save Your Love;Great White;;Save Your Love by Great White
Basket Case;Green Day;1994;Basket Case by Green Day
Boulevard Of Broken Dreams;Green Day;2004;Boulevard Of Broken Dreams by Green Day
Brain Stew/Jaded;Green Day;1995;Brain Stew/Jaded by Green Day
Good Riddance (Time Of Your Life);Green Day;1997;Good Riddance (Time Of Your Life) by Green Day
Holiday (Live);Green Day;2004;Holiday (Live) by Green Day
Holiday / Boulevard of Broken Dreams;Green Day;2004;Holiday / Boulevard of Broken Dreams by Green Day
Longview;Green Day;1994;Longview by Green Day
When I Come Around;Green Day;1994;When I Come Around by Green Day
The Break Up Song;Greg Kihn Band;1981;The Break Up Song by Greg Kihn Band
I'm No Angel;Gregg Allman;1987;I'm No Angel by Gregg Allman
Midnight Rider;Gregg Allman;1970;Midnight Rider by Gregg Allman
American Woman;Guess Who;1970;American Woman by Guess Who
Friends Of Mine;Guess Who;;Friends Of Mine by Guess Who
No Sugar Tonight / New Mother Nature;Guess Who;1970;No Sugar Tonight / New Mother Nature by Guess Who
No Time;Guess Who;;No Time by Guess Who
THESE EYES;Guess Who;1969;THESE EYES by Guess Who
Civil War;Guns N' Roses;1991;Civil War by Guns N' Roses
Don't Cry;Guns N' Roses;;Don't Cry by Guns N' Roses
Knockin' On Heaven's Door;Guns N' Roses;;Knockin' On Heaven's Door by Guns N' Roses
Live and Let Die;Guns N' Roses;;Live and Let Die by Guns N' Roses
Mr. Brownstone;Guns N' Roses;1987;Mr. Brownstone by Guns N' Roses
My Michelle;Guns N' Roses;1987;My Michelle by Guns N' Roses
November Rain;Guns N' Roses;1991;November Rain by Guns N' Roses
Paradise City;Guns N' Roses;1987;Paradise City by Guns N' Roses
Patience;Guns N' Roses;1988;Patience by Guns N' Roses
Sweet Child O' Mine;Guns N' Roses;1987;Sweet Child O' Mine by Guns N' Roses
Used To Love Her;Guns N' Roses;1988;Used To Love Her by Guns N' Roses
Welcome to the Jungle;Guns N' Roses;1987;Welcome to the Jungle by Guns N' Roses
You Could Be Mine;Guns N' Roses;;You Could Be Mine by Guns N' Roses
AS FAR AS YOU CAN SEE (AS MU;Gypsy;;AS FAR AS YOU CAN SEE (AS MU by Gypsy
Axel F Theme;Harold Faltermeyer;1984;Axel F Theme by Harold Faltermeyer
Cat's In The Cradle;Harry Chapin;1974;Cat's In The Cradle by Harry Chapin
W*O*L*D*;Harry Chapin;1974;W*O*L*D* by Harry Chapin
Jump into the Fire;Harry Nilsson;;Jump into the Fire by Harry Nilsson
Never Been Any Reason;Head East;1975;Never Been Any Reason by Head East
All I Wanna Do Is Make Love to You;Heart;;All I Wanna Do Is Make Love to You by Heart
Alone;Heart;1987;Alone by Heart
Barracuda;Heart;1977;Barracuda by Heart
Bebe le Strange;Heart;;Bebe le Strange by Heart
Crazy On You;Heart;1976;Crazy On You by Heart
Dog & Butterfly;Heart;;Dog & Butterfly by Heart
Dreamboat Annie;Heart;1976;Dreamboat Annie by Heart
Even It Up;Heart;;Even It Up by Heart
Heartless;Heart;;Heartless by Heart
How Can I Refuse;Heart;1983;How Can I Refuse by Heart
If Looks Could Kill;Heart;;If Looks Could Kill by Heart
Kick It Out;Heart;;Kick It Out by Heart
Little Queen;Heart;;Little Queen by Heart
Love Alive;Heart;;Love Alive by Heart
Magic Man;Heart;1976;Magic Man by Heart
Mistral Wind;Heart;;Mistral Wind by Heart
Never;Heart;;Never by Heart
Nothin' at All;Heart;;Nothin' at All by Heart
Rock And Roll;Heart;;Rock And Roll by Heart
Stairway To Heaven;Heart;;Stairway To Heaven by Heart
Straight On;Heart;1978;Straight On by Heart
Tell It Like It Is;Heart;;Tell It Like It Is by Heart
What About Love?;Heart;;What About Love? by Heart
Who Will You Run To;Heart;;Who Will You Run To by Heart
House Of Living;Heartsfield;;House Of Living by Heartsfield
Sangre Por Sangre;HellYeah;;Sangre Por Sangre by HellYeah
Grey Ghost;Henry Paul Band;1979;Grey Ghost by Henry Paul Band
Long Cool Woman;Hollies;1971;Long Cool Woman by Hollies
New Girl Now;Honeymoon Suite;;New Girl Now by Honeymoon Suite
ALL YOU ZOMBIES;Hooters;1985;ALL YOU ZOMBIES by Hooters
AND WE DANCED;Hooters;1985;AND WE DANCED by Hooters
I Want A New Drug;Huey Lewis & The News;1983;I Want A New Drug by Huey Lewis & The News
30 Days In the Hole;Humble Pie;1972;30 Days In the Hole by Humble Pie
Lust for Life;Iggy Pop;1977;Lust for Life by Iggy Pop
The Passenger;Iggy Pop;1977;The Passenger by Iggy Pop
Radioactive;Imagine Dragons;2012;Radioactive by Imagine Dragons
Devil Inside;INXS;1988;Devil Inside by INXS
Need You Tonight;INXS;1987;Need You Tonight by INXS
New Sensation;INXS;;New Sensation by INXS
What You Need;INXS;1985;What You Need by INXS
In A Gadda Da Vida;Iron Butterfly;1968;In A Gadda Da Vida by Iron Butterfly
Flight Of Icarus;Iron Maiden;1983;Flight Of Icarus by Iron Maiden
Run To The Hills;Iron Maiden;1982;Run To The Hills by Iron Maiden
The Number Of The Beast;Iron Maiden;1982;The Number Of The Beast by Iron Maiden
The Trooper;Iron Maiden;1983;The Trooper by Iron Maiden
Wasted Years;Iron Maiden;1986;Wasted Years by Iron Maiden
Centerfold;J. Geils Band;1981;Centerfold by J. Geils Band
Freeze-frame;J. Geils Band;1981;Freeze-frame by J. Geils Band
Give It To Me;J. Geils Band;1973;Give It To Me by J. Geils Band
Houseparty;J. Geils Band;;Houseparty by J. Geils Band
Looking For A Love;J. Geils Band;;Looking For A Love by J. Geils Band
